id,name,web_name,team,position,cost,total_points,form,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,selected_by_percent,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,minutes_per_game,cost_efficiency,form_per_cost,position_encoded
735,Mikel Arteta,Arteta,Arsenal,Manager,1.5,104,8.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,5.7,69.3,247297,159775,0,0,0.0,69.33333333333333,5.666666666666667,
756,Jack Porter,Porter,Arsenal,Goalkeeper,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928,1018,0,0,0.0,0.0,0.0,1.0
790,Jimi Gower,Gower,Arsenal,Midfielder,4.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,50,0,0,0.0,0.0,0.0,3.0
793,Jack Henry-Francis,Jack Henry-Francis,Arsenal,Midfielder,4.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,28,0,0,0.0,0.0,0.0,3.0
801,Brayden Clarke,Clarke,Arsenal,Defender,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199,38,0,0,0.0,0.0,0.0,2.0
28,Leon Bailey,Bailey,Aston Villa,Midfielder,6.2,47,0.5,2.0,1132,1,2,2,19,0,0,0,3,0,0,2,174,146.4,235.8,325.0,70.3,0.8,0.1,7.6,186480,472952,0,0,29.789473684210527,7.580645161290322,0.08064516129032258,3.0
29,Ross Barkley,Barkley,Aston Villa,Midfielder,5.2,44,1.0,2.2,567,3,1,1,10,0,0,0,3,0,0,5,166,215.4,128.1,206.0,54.8,0.2,0.2,8.5,26756,91758,0,0,14.921052631578947,8.461538461538462,0.1923076923076923,3.0
30,Enzo Barrenechea,Barrenechea,Aston Villa,Midfielder,4.9,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872,5339,0,0,0.0,0.0,0.0,3.0
31,Emiliano Buendía Stati,Buendia,Aston Villa,Midfielder,5.1,11,0.0,0.9,89,0,0,0,2,0,0,0,1,0,0,0,37,16.4,23.2,16.0,5.2,0.1,0.0,2.2,6966,17063,0,0,2.3421052631578947,2.1568627450980395,0.0,3.0
32,Matty Cash,Cash,Aston Villa,Defender,4.4,76,3.0,2.8,2069,1,1,7,22,0,0,0,7,0,0,2,286,359.2,181.0,171.0,71.3,1.6,0.7,17.3,306407,452117,0,0,54.44736842105263,17.27272727272727,0.6818181818181818,2.0
33,Leander Dendoncker,Dendoncker,Aston Villa,Midfielder,4.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,18187,94027,0,0,0.0,0.0,0.0,3.0
34,Moussa Diaby,Diaby,Aston Villa,Midfielder,6.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3420,0,0,0.0,0.0,0.0,3.0
35,Diego Carlos Santos Silva,Diego Carlos,Aston Villa,Defender,4.5,21,0.0,2.1,828,0,0,2,15,0,0,0,1,0,0,1,69,150.6,9.2,54.0,21.5,0.3,0.0,4.7,50956,95521,0,0,21.789473684210527,4.666666666666667,0.0,2.0
36,Lucas Digne,Digne,Aston Villa,Defender,4.4,89,0.0,2.8,2348,0,5,6,36,0,0,0,4,0,0,7,383,512.6,583.9,112.0,120.7,5.6,0.0,20.2,2217548,1914740,0,0,61.78947368421053,20.227272727272727,0.0,2.0
37,Lewis Dobbin,Dobbin,Aston Villa,Midfielder,5.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,298,0,0,0.0,0.0,0.0,3.0
38,Jhon Durán,Duran,Aston Villa,Forward,5.7,53,0.0,2.6,622,7,0,2,14,0,0,0,3,1,0,9,222,273.8,68.9,334.0,67.5,1.6,0.0,9.3,1376643,1337176,0,0,16.36842105263158,9.298245614035087,0.0,4.0
39,Joe Gauci,Gauci,Aston Villa,Goalkeeper,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,63380,80126,0,0,0.0,0.0,0.0,1.0
40,Kortney Hause,Hause,Aston Villa,Defender,3.9,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,62708,78002,0,0,0.0,0.0,0.0,2.0
41,Samuel Iling-Junior,Iling Jr,Aston Villa,Midfielder,5.4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342,6767,0,0,0.0,0.0,0.0,3.0
42,Boubacar Kamara,Kamara,Aston Villa,Midfielder,5.0,57,6.0,2.2,1720,1,0,6,22,0,0,0,2,0,0,3,296,326.6,191.0,83.0,60.2,0.1,1.2,11.4,14163,9157,0,0,45.26315789473684,11.4,1.2,3.0
